codigo;nombre;DEBE
100;ESMERALDA;
101;ESPACIOS DE ACHUMANI;
103;ESPRA;
846;ETHELVINA;
430;FABIAN;
695;FACULTAD DE ARQUITECTURA (UMSA);
623;FAMILIAR URUBO;
106;FENIX;
1050;FERNANDEZ (EX VILLA VERDE);
858;FERNANDO ENRIQUEZ;
979;FERNANDO ENRIQUEZ( EX MELANY);
108;FERNANDO TELLEZ;
109;FERRAL II;
110;FIGUERAS;
679;FLOR DE LIPARI;
973;FLOR DE LIZ;
933;FLOR DE LOTO;
773;FLORENCIA;
568;FLORES;
1003;FLORES (EX CATALINA);
680;FLORIDA (E III);
114;FORESTA;
230;FORTALEZA;
817;FRANKLIN;
470;FRANZEN;
890;FRATELLI;
771;FUNDACION ARCO IRIS;
455;FUNERARIA INMACULADA;
460;G&L (RUBIN DE CELIS);
115;GALA;
319;GALARZA;
609;GALERIA LOPEZ;
892;GALERIA VANESTO (EX JESUS PEREZ);
117;GAMARRA;
1046;GAMBOA;
796;GAMEZ;
795;GAMMA (FERNANDO MONTES);
902;GENOVA;
478;GERARDO MALDONADO (DOMUS 7);
724;GERMANIA A;
723;GERMANIA B;
725;GERMANIA C;
681;GIOVANA VANESSA;
124;GIRASOLES;
118;GIRASOLES;
119;GIRASOLES II;
121;GIRASOLES SUR ALAMOS;
122;GIRASOLES SUR ALGARROBOS;
123;GIRASOLES SUR ALMENDROS;
1060;GIRASOLES SUR CEDROS;
125;GIRASOLES SUR CEIBOS;
126;GIRASOLES SUR CIPRESES;
127;GIRASOLES SUR OLIVOS;
128;GIRASOLES SUR QUISWARAS;
129;GIRASOLES SUR SAUCES;
130;GIRASOLES SUR TAJIBOS;
131;GLORIA;
865;GOGO;
967;GOGO (EX STOCK 6B);
968;GOGO EX COMPLEJO HOTELERO VILLA OLIMPICA SECTOR 4 TORRE II;
847;GRAN CRUCERO (CORROIN);
132;GRAN PLAZA (Hipermaxi el Alto);
133;GRAN PLAZA ESCALERA;
135;GRECO;
477;GUIDO CASTRO;
136;GUIDOVAL;
894;GUIDOVAL III;
137;GUIPUSCA;
577;GUIPUSKUA;
487;GUTIERREZ;
138;GUTIERREZ BLANCO;
803;GUTIERREZ RIOS;
139;HABANA;
842;HABITARE;
439;HADAR;
428;HAVELBERG;
140;HEIDI PAZ;
141;HISPANIA;
1007;HOLVER CHOQUE;
144;HORNSBY;
663;HOSPITAL CAJA NACIONAL DE CAMINOS A;
664;HOSPITAL CAJA NACIONAL DE CAMINOS B;
653;HOSPITAL CAJA NACIONALD E CAMINOS A;
652;HOSPITAL CAJA NACIONALD E CAMINOS B;
923;HOSPITAL DE COBIJA CAMILLERO;
921;HOSPITAL DE COBIJA COCINA;
922;HOSPITAL DE COBIJA LAVANDERIA;
924;HOSPITAL DE COBIJA MINICARGA;
920;HOSPITAL DE COBIJA SOCIALES;
146;HOSPITAL DE LA MUJER;1
147;HOSPITAL DE LA MUJER MONTACARGA;
628;HOSPITAL DE RIBERALTA A;
629;HOSPITAL DE RIBERALTA DB;
1005;HOSPITAL DE TERCER NIVEL DE VILLA TUNARI;
991;HOSPITAL DE TERCER NIVEL EL ALTO DEL SUR;
733;HOSPITAL DEL NORTE (Servicio Suspendido);
148;HOSPITAL GENERAL DEL NORTE;
777;HOSPITAL OBRERO EL ALTO 1;
